Concept,Coverage,Number of cognate sets
OLD,0.64,2
ONE,0.57,1
OPEN,0.5,2
OTTER,0.57,2
PAIN,0.79,2
PAINT,0.5,1
PARAKEET,0.57,2
PARROT,0.71,4
PATH,0.64,2
PEANUT,0.57,2
PECCARY,0.5,2
PENIS,0.64,3
PEOPLE,0.71,3
PEPPER,0.5,1
PIERCE,0.5,2
PINCH,0.5,1
PISS,0.5,1
PLACE LAYING DOWN (SINGULAR),0.5,1
PLANT,0.79,1
PORCUPINE,0.5,1
POUR,0.57,2
PULL,0.5,3
PUNCH,0.64,2
PUS,0.79,3
RACOON,0.5,1
RAIN,0.71,1
RAW,0.5,2
RECIPROCAL,0.5,1
RED,0.57,2
REMEMBER,0.5,2
REMOVE,0.5,1
RHEA,0.5,1
RIB,0.5,5
RIGHT SIDE,0.5,1
ROAST (PLURAL),0.5,1
ROTTEN,0.71,3
ROUND,0.5,4
SAD,0.5,1
SALIVA,0.71,3
SALT,0.64,3
SCRATCH,0.64,3
SCRUB,0.5,1
SEE,0.57,3
SEED,0.86,2
SEND,0.86,2
SEPARATELY,0.5,1
SHELL,0.57,2
SHIT,0.5,1
SHOUT OUT,0.5,2
SHOW,0.57,1
SING,0.57,1
SING (BIRDS),0.64,2
SKIN,0.71,1
SKY,0.93,3
SLEEP,1.0,1
SLING,0.57,3
SLOW,0.5,1
SMALL,0.64,2
SMOKE,0.93,3
SNAIL,0.5,4
SNAKE,0.57,2
SOUR,0.5,3
SPANK,0.5,1
SPIDER,0.5,3
SPIRIT,0.5,1
SQUEEZE,0.64,1
STAND UP (SINGULAR),0.5,1
STAR,0.71,2
STERNUM,0.57,1
STINGRAY,0.5,3
STONE,0.86,4
STRONG,0.86,1
SUCK,0.86,4
SUN,0.71,2
SWEET,0.64,2
SWEET POTATO,0.5,1
SWIM,0.5,1
TAIL,0.86,2
TAKE,0.64,2
TAPIR,0.79,4
TELL,0.5,1
THIGH,0.86,3
THIRST,0.5,1
THORN,0.5,4
THROAT,0.57,1
THROW,0.64,4
THROW (PLURAL),0.5,1
THROW (SINGULAR),0.5,1
TICK,0.57,1
TIP,0.5,1
TONGUE,1.0,2
TOOTH,1.0,3
TOP,0.5,1
TORTOISE,0.5,1
TOUCAN,0.64,4
TOUCH,0.57,1
TREE,0.71,3
TWO,0.71,3
UNCLE,0.5,1
UNDERSTAND,0.5,2
UNTIE,0.5,3
URINE,0.57,3
VAGINA,0.64,3
VEIN,0.86,3
VILLAGE,0.5,1
VULTURE,0.5,3
WALK,0.64,1
WALK (SINGULAR),0.5,1
WANT,0.64,3
WARN,0.5,1
WASH (HARD),0.5,1
WASP (TYPE OF),0.5,1
WATER,0.93,2
WEAVE,0.64,2
WET,0.64,1
WHISTLE,0.57,5
WHITE,0.64,1
WHO,0.5,1
WIFE,0.86,2
WIND,0.79,4
WING,0.5,1
WOOD,0.71,2
WORK,0.57,3
YET,0.5,1
